id,ward_name,male_pop,female_pop,total_pop
1,Choiseul,13532,12840,26372
10,Honiara,34089,30520,64609
2,Western,39926,36723,76649
3,Isabel,13328,12830,26158
4,Central,13261,12790,26051
5,Rennell-Bell,1549,1492,3041
6,Guadalcanal,48283,45330,93613
7,Malaita,69232,68364,137596
8,Makira-Ulawa,20789,19630,40419
9,Temotu,10466,10896,21362
,,,,
,,,,
