id,loc_name,agg,type,Key Statistics: Total Households,Main source of household drinking water: metered SIWA drinking water,Main source of household drinking water: communal standpipe,Main source of household drinking water: private water tank,Main source of household drinking water: communal water tank,Main source of household drinking water: well - protected,Main source of household drinking water: well - unprotected,Main source of household drinking water: river or stream,Main source of household drinking water: bottled water,Main source of household drinking water: other source of drinking water,Main source of household washing water: piped - private,Main source of household washing water: piped - shared,Main source of household washing water: communal standpipe,Main source of household washing water: well - protected,Main source of household washing water: well - unprotected,Main source of household washing water: private water tank,Main source of household washing water: communal water tank,Main source of household washing water: sea water,"Main source of household washing water: river, lake or stream water",Main source of household washing water: other source of washing water,Main type of household toilet facility: flush toilets - private,Main type of household toilet facility: flush toilets - shared,Main type of household toilet facility: water sealed toilets - private,Main type of household toilet facility: water sealed toilets - shared,Main type of household toilet facility: pit latrines - private,Main type of household toilet facility: pit latrines - shared,Main type of household toilet facility: other toilets,Main type of household toilet facility: no toilets,Main source of household lighting: Main Grid,Main source of household lighting: Own Generator,Main source of household lighting: solar,Main source of household lighting: gas,Main source of household lighting: kerosene lamp,Main source of household lighting: coleman lamp,Main source of household lighting: Wood or Coconut,Main source of household lighting: other lighting,Main source of household lighting: no lighting,Main source of household cooking energy: Electricity from Main Grid,Main source of household cooking energy: Kerosene,Main source of household cooking energy: Wood or Coconut,Main source of household cooking energy: Charcoal,Main source of household cooking energy: Gas,Main source of household cooking energy: other cooking fuels,Households involvement in growing food: subsistence only,Households involvement in growing food: sale only,Households involvement in growing food: subsistence and sale,Households involvement in growing food: not growing food,Households involvement in growing food: No response,Households involvement in fishing: subsistence only,Households involvement in fishing: sale only,Households involvement in fishing: subsistence and sale,Households involvement in fishing: Households not fishing,Household money received from remittances: None,Household money received from remittances: unknown or not applicable,Household money received from remittances: 1 - 499 S.I. dollars,Household money received from remittances: 500 - 999 S.I. dollars,Household money received from remittances: 1000 - 1499 S.I. dollars,Household money received from remittances: more than 1500 S.I. dollars,Main source of household income in last 12 months: No income,Main source of household income in last 12 months: Wages Salary,Main source of household income in last 12 months: Own business,Main source of household income in last 12 months: Sale fish crop craft,Main source of household income in last 12 months: Land lease,Main source of household income in last 12 months: House rent,Main source of household income in last 12 months: Remittances,Main source of household income in last 12 months: Other source
1009,Kukum,Ward,Total,233,204,0,24,1,0,0,0,2,2,162,6,0,0,0,6,2,0,1,56,191,29,5,4,2,0,2,0,213,2,1,0,12,1,0,4,0,12,5,92,0,122,2,64,0,5,159,5,13,2,5,213,199,14,6,3,0,11,2,191,14,2,3,8,1,12
101,Waghina,Ward,Total,250,0,0,69,173,1,0,0,0,7,0,0,0,3,197,12,0,0,34,4,28,1,11,0,23,2,0,185,0,6,43,0,164,11,0,25,1,0,3,246,1,0,0,186,0,35,27,2,143,1,79,27,161,7,3,27,22,30,1,33,12,38,0,1,12,153
1010,Naha,Ward,Total,54,53,0,0,0,0,0,0,0,1,24,29,0,0,0,0,0,0,0,1,11,26,0,0,1,3,13,0,44,0,0,0,9,0,0,1,0,0,1,44,0,9,0,2,1,0,50,1,1,1,1,51,53,0,1,0,0,0,0,43,3,4,0,0,0,4
1011,Vura,Ward,Total,1268,985,86,134,5,8,4,35,1,10,957,196,19,7,3,26,1,0,45,14,917,85,76,45,87,53,3,2,976,5,28,2,242,8,0,5,2,52,51,470,25,628,42,333,5,70,779,81,31,8,52,1177,973,129,24,48,32,62,11,1018,91,56,4,24,6,58
1012,Panatina,Ward,Total,2001,1273,120,181,15,16,231,131,20,14,865,556,113,14,209,44,4,0,193,3,813,159,417,111,367,94,19,21,1145,5,45,3,781,4,2,10,6,93,40,1171,69,544,84,645,17,360,795,184,65,19,52,1865,1592,177,66,51,36,79,15,1536,186,132,12,23,7,90
102,Katupika,Ward,Total,399,0,78,26,83,0,0,183,0,29,4,103,62,17,9,4,25,0,150,25,1,33,9,1,1,2,142,210,57,11,35,1,294,1,0,0,0,1,12,376,0,10,0,152,1,211,34,1,182,0,179,38,197,6,83,58,25,30,0,97,15,130,0,0,33,124
103,Vasiduki,Ward,Total,312,1,151,41,63,1,0,53,2,0,0,1,174,34,0,10,21,1,71,0,3,0,0,0,9,1,0,299,0,0,27,1,282,2,0,0,0,0,0,311,0,1,0,38,0,257,9,8,40,0,255,17,164,1,85,50,8,4,2,49,6,206,0,1,46,2
104,Viviru,Ward,Total,289,0,171,46,26,3,0,29,0,14,19,41,148,2,0,9,1,0,68,1,15,0,9,1,9,0,2,253,0,1,8,3,270,0,1,3,3,0,0,283,0,5,1,94,0,187,7,1,120,0,122,47,108,5,113,30,14,19,1,31,15,212,0,1,16,13
105,Babatana,Ward,Total,324,0,147,91,38,0,0,31,17,0,27,34,195,1,0,12,1,0,51,3,10,2,112,3,6,1,118,72,0,1,38,4,279,0,0,2,0,1,0,321,0,2,0,89,1,192,15,27,107,1,130,86,133,8,79,47,22,35,4,67,30,154,0,2,38,29
106,Tepakaza,Ward,Total,322,1,84,78,55,1,0,103,0,0,2,1,162,6,0,3,0,0,147,1,1,1,18,17,7,0,0,278,10,4,30,1,275,0,0,2,0,0,3,319,0,0,0,111,2,195,12,2,129,0,146,47,184,1,99,21,12,5,2,70,5,222,0,1,7,15
107,Batava,Ward,Total,802,0,52,397,257,1,0,62,0,33,20,63,110,126,55,175,9,0,240,4,99,6,28,0,7,1,72,589,38,18,75,5,647,1,1,17,0,0,0,776,2,24,0,244,1,472,68,17,315,0,336,151,581,26,113,34,24,24,16,221,42,477,1,3,8,34
108,Tavula,Ward,Total,418,0,166,86,22,3,0,138,0,3,5,6,217,6,1,12,0,0,170,1,3,4,16,0,5,1,70,319,0,2,31,0,372,0,0,13,0,0,0,413,1,4,0,121,0,284,10,3,132,2,168,116,206,8,128,42,24,10,13,44,23,150,0,2,9,177
109,Polo,Ward,Total,302,0,95,52,12,0,0,142,0,1,1,0,124,0,0,0,6,0,171,0,1,0,5,0,0,0,72,224,15,0,8,0,277,1,0,1,0,1,0,297,0,4,0,145,1,107,17,32,117,2,85,98,243,1,25,15,12,6,10,59,11,151,0,1,7,63
110,Bangara,Ward,Total,189,0,32,20,2,0,0,134,1,0,0,2,40,0,0,0,0,0,146,1,0,0,0,1,0,0,9,179,0,0,3,1,181,0,0,4,0,2,0,187,0,0,0,64,1,103,6,15,50,1,79,59,158,3,14,12,2,0,3,9,6,134,0,1,5,31
111,Susuka,Ward,Total,304,0,64,92,64,0,1,80,0,3,6,40,138,1,6,7,2,0,103,1,11,18,14,8,9,11,118,115,52,7,46,2,191,1,0,5,0,2,3,268,7,19,5,136,0,113,47,8,116,1,94,93,183,5,90,10,10,6,1,95,11,90,5,1,0,101
112,Senga,Ward,Total,345,0,139,63,38,1,0,100,0,4,1,1,202,0,16,5,1,0,119,0,4,0,13,0,0,0,0,328,0,1,66,1,275,0,0,2,0,1,0,344,0,0,0,74,0,264,5,2,89,0,160,96,241,2,57,29,12,4,1,38,2,252,0,1,14,37
113,Kerepangara,Ward,Total,204,0,111,26,7,0,0,60,0,0,1,6,102,2,0,6,1,0,86,0,5,0,4,1,43,8,0,143,0,0,31,0,172,0,0,0,1,0,1,202,0,1,0,61,0,131,6,6,76,0,58,70,118,0,67,10,7,2,29,14,18,116,0,1,1,25
114,Kirugela,Ward,Total,252,0,126,50,0,3,1,69,0,3,3,2,177,1,1,3,0,0,64,1,7,0,2,20,1,0,0,222,22,1,37,0,190,0,0,2,0,0,1,245,0,4,2,139,0,92,8,13,134,0,86,32,115,0,95,23,15,4,5,65,10,111,0,0,10,51
201,Outer Shortlands,Ward,Total,253,0,9,59,162,1,0,22,0,0,1,34,168,25,0,3,1,0,21,0,7,0,1,0,6,0,75,164,0,1,30,0,219,0,2,0,1,0,1,252,0,0,0,156,2,82,1,12,66,1,175,11,158,10,32,26,15,12,4,15,12,196,0,2,5,19
202,Inner Shortlands,Ward,Total,448,1,5,180,254,3,0,2,0,3,5,24,81,216,75,36,2,0,8,1,27,5,2,0,2,3,70,339,3,12,44,0,303,3,75,5,3,0,1,385,58,4,0,232,4,169,26,17,124,3,259,62,332,19,51,19,13,14,6,51,19,285,0,1,6,80
203,Simbo,Ward,Total,314,0,275,19,19,0,0,0,0,1,2,13,287,1,0,2,0,0,8,1,5,6,23,4,5,3,13,255,0,0,4,1,308,0,1,0,0,0,0,314,0,0,0,75,0,234,1,4,61,0,208,45,200,6,52,20,23,13,0,29,7,258,0,1,9,10
204,North Ranongga,Ward,Total,92,0,82,2,5,0,0,1,0,2,2,0,74,0,0,2,1,0,13,0,0,0,8,1,20,39,11,13,0,0,10,0,56,0,0,26,0,0,3,89,0,0,0,21,0,71,0,0,19,0,58,15,71,2,9,5,3,2,0,7,2,65,0,0,2,16
205,Central Ranongga,Ward,Total,488,0,295,34,8,0,0,119,0,32,5,4,277,6,4,26,7,0,159,0,2,0,94,6,18,4,13,351,0,1,57,0,405,2,1,21,1,0,4,456,26,1,1,100,1,381,3,3,189,0,199,100,307,13,70,46,27,25,0,64,25,338,0,1,34,26
206,South Ranongga,Ward,Total,644,0,312,16,9,0,2,281,0,24,30,56,200,0,0,3,1,0,354,0,10,0,69,13,15,1,25,511,9,1,13,1,600,0,0,18,2,0,12,631,0,1,0,80,1,542,7,14,179,0,348,117,518,3,61,26,19,17,5,63,36,511,1,0,14,14
207,Vonunu,Ward,Total,645,0,240,204,111,1,2,74,10,3,61,47,348,1,21,23,1,2,141,0,32,6,197,10,7,0,30,363,17,5,24,0,589,0,0,10,0,1,1,623,0,20,0,218,20,380,25,2,296,12,280,57,379,4,133,72,24,33,3,167,10,384,0,0,34,47
208,Bilua,Ward,Total,754,0,351,174,162,0,1,57,0,9,48,53,384,3,0,12,1,0,253,0,11,2,58,5,10,1,175,492,11,3,53,1,678,1,2,5,0,0,6,742,0,5,1,191,1,535,21,6,316,4,293,141,366,14,287,55,21,11,18,176,25,473,1,0,43,18
209,Dovele,Ward,Total,378,1,141,96,41,1,0,98,0,0,3,80,152,0,4,14,1,0,124,0,6,0,51,2,5,1,19,294,18,3,12,0,344,0,0,1,0,0,1,375,0,2,0,84,0,279,12,3,147,0,191,40,239,3,84,22,15,15,9,88,25,218,0,1,13,24
210,Iringgila,Ward,Total,501,0,145,81,210,0,0,63,0,2,27,51,163,1,0,8,1,0,248,2,23,0,9,0,4,0,7,458,21,3,19,1,455,1,0,1,0,0,1,489,0,11,0,170,1,321,8,1,217,0,241,43,369,3,72,39,10,8,0,79,13,311,0,0,11,87
211,Gizo,Ward,Total,1335,0,80,746,353,16,0,91,12,37,127,112,261,132,4,397,21,0,266,15,452,53,247,57,146,49,263,68,475,38,46,0,724,9,1,41,1,24,83,1023,2,198,5,619,4,224,434,54,553,21,223,538,1034,15,109,72,46,59,8,799,105,292,0,13,22,96
212,South Kolombangara,Ward,Total,722,1,282,138,26,0,0,234,2,39,196,104,130,3,0,17,0,0,270,2,227,3,25,4,14,6,114,329,220,4,8,0,486,0,1,2,1,12,0,683,0,27,0,361,4,321,19,17,349,1,279,93,562,6,96,26,18,14,5,286,26,315,0,1,9,80
213,Vonavona,Ward,Total,990,0,8,632,302,1,0,2,23,22,4,13,45,470,66,199,8,0,166,19,33,7,105,10,20,3,775,37,3,18,32,0,928,0,1,8,0,0,1,981,1,6,1,303,4,613,44,26,389,8,554,39,530,20,246,105,60,29,2,173,44,569,0,4,14,184
214,Kusaghe,Ward,Total,332,0,199,10,16,0,0,107,0,0,0,3,199,0,1,0,3,0,125,1,0,0,4,2,1,0,325,0,9,4,1,0,318,0,0,0,0,0,0,332,0,0,0,30,0,288,7,7,56,1,248,27,309,4,16,2,1,0,0,43,1,263,0,0,0,25
215,Munda,Ward,Total,471,6,5,321,114,0,1,0,1,23,50,94,54,59,48,122,6,1,24,13,80,7,123,43,6,2,70,140,136,8,10,0,313,0,0,4,0,1,2,454,0,13,1,186,0,209,72,4,216,2,174,79,285,8,84,45,27,22,2,226,26,158,0,6,31,22
216,Nusa Roviana,Ward,Total,379,0,3,293,71,0,0,0,3,9,44,9,104,39,10,151,11,0,1,10,87,3,151,39,14,0,40,45,84,2,18,1,272,1,0,1,0,0,5,326,13,35,0,149,2,161,59,8,140,2,158,79,167,6,64,55,31,56,0,138,42,123,1,11,29,35
217,Roviana Lagoon,Ward,Total,757,0,99,419,155,0,1,31,20,32,26,79,148,90,26,131,19,0,191,47,36,5,165,7,40,3,243,258,143,7,12,0,560,0,0,35,0,8,0,736,0,12,1,218,3,474,34,28,254,5,427,71,495,23,116,55,42,26,8,204,33,419,0,4,47,42
218,South Rendova,Ward,Total,451,0,192,92,14,14,0,130,0,9,4,3,193,0,0,12,1,0,237,1,5,3,9,2,66,1,348,17,7,3,44,0,390,0,0,7,0,0,0,444,0,6,1,93,1,341,7,9,117,1,211,122,327,5,78,19,11,11,2,59,12,315,0,0,4,59
219,North Rendova,Ward,Total,334,0,76,91,30,0,0,126,0,11,0,0,93,0,1,23,3,0,213,1,1,0,9,9,15,4,296,0,0,6,14,1,309,0,2,2,0,0,0,334,0,0,0,61,3,256,7,7,57,1,229,47,240,2,60,22,8,2,9,16,3,220,0,1,4,81
220,Kolombaghea,Ward,Total,322,0,168,70,20,0,0,46,0,18,41,10,156,0,0,12,0,1,102,0,65,3,39,3,0,0,68,144,2,1,9,0,307,1,0,0,2,0,0,321,0,1,0,63,2,241,9,7,98,0,205,19,275,1,39,4,2,1,25,29,8,250,0,0,9,1
221,Buini Tusu,Ward,Total,486,1,197,158,39,0,5,79,0,7,6,16,247,2,6,72,2,6,126,3,20,4,24,12,4,0,45,377,11,7,20,0,443,0,0,1,4,5,0,467,6,4,4,137,2,290,31,26,153,1,270,62,330,23,58,36,22,17,6,101,25,301,0,0,20,33
222,Nono,Ward,Total,628,0,140,255,74,2,5,95,6,51,33,37,304,2,0,73,0,1,157,21,24,10,159,11,3,1,18,402,38,4,66,1,484,0,1,31,3,0,9,609,1,9,0,256,2,334,18,18,227,0,284,117,450,12,90,24,22,30,33,152,25,372,0,0,5,41
223,Nggatokae,Ward,Total,584,0,316,126,4,3,0,122,6,7,15,6,317,12,0,92,6,0,133,3,35,5,24,0,12,2,1,505,4,7,533,3,35,0,0,1,1,0,2,576,0,6,0,147,8,388,14,27,141,2,389,52,425,14,65,30,31,19,19,67,39,433,1,0,13,12
224,North Vangunu,Ward,Total,461,1,346,73,11,2,0,21,0,7,1,3,397,2,0,19,1,0,36,2,31,0,24,0,10,1,38,357,32,5,40,0,374,0,1,7,2,1,0,453,1,5,1,195,6,210,25,25,185,1,219,56,290,23,75,31,16,26,8,93,27,285,0,0,22,26
225,Noro,Ward,Total,589,26,12,291,210,0,0,0,0,50,273,199,47,36,5,10,2,0,5,12,270,85,39,18,6,1,114,56,323,2,13,0,237,1,0,11,2,7,8,504,0,65,5,408,1,61,105,14,303,1,18,267,479,17,57,20,9,7,5,516,20,13,4,2,0,29
226,North Kolombangara,Ward,Total,404,0,173,16,6,2,0,166,0,41,41,49,154,2,0,5,1,1,151,0,44,2,22,0,16,0,303,17,99,0,17,0,288,0,0,0,0,1,1,391,1,10,0,139,1,257,3,4,202,0,171,31,315,1,41,24,14,9,5,91,8,151,0,0,10,139
301,Kia,Ward,Total,437,0,35,71,286,2,0,40,2,1,13,132,145,5,0,9,10,1,122,0,3,2,13,72,1,1,336,9,119,26,75,0,217,0,0,0,0,2,13,337,69,16,0,175,0,186,44,32,198,0,182,57,286,1,96,28,17,9,12,169,78,93,4,1,2,78
302,Havulei,Ward,Total,244,0,111,102,28,0,0,0,1,2,2,81,143,3,0,6,0,0,8,1,2,1,3,5,2,0,230,1,6,9,14,0,211,0,0,4,0,0,0,223,8,12,1,49,0,170,18,7,57,1,160,26,180,5,35,11,7,6,1,38,8,151,0,0,2,44
303,Kokota,Ward,Total,249,0,156,35,21,0,0,36,0,1,15,148,33,0,0,1,0,0,52,0,2,2,6,0,5,2,226,6,26,2,12,0,208,0,1,0,0,0,0,244,1,4,0,45,3,170,23,8,42,2,193,12,209,13,26,1,0,0,5,67,10,152,0,1,0,14
304,Hovukoilo,Ward,Total,392,0,292,11,24,0,0,60,1,4,38,80,145,0,0,3,2,0,122,2,3,0,52,17,105,35,171,9,1,6,125,4,249,0,0,7,0,0,0,383,5,4,0,109,3,258,5,17,139,0,145,108,321,3,38,14,12,4,3,69,11,257,0,4,8,40
305,Buala,Ward,Total,511,2,380,34,48,0,0,2,0,45,200,109,169,0,0,10,0,0,20,3,91,5,57,18,47,18,273,2,119,0,29,0,356,4,0,3,0,2,6,453,24,26,0,206,2,271,26,6,170,3,238,100,348,13,124,10,10,6,2,177,49,229,0,6,4,44
306,Tirotonga,Ward,Total,161,0,126,3,4,0,0,27,0,1,17,27,87,0,0,0,0,0,30,0,0,0,6,0,105,12,38,0,0,0,27,1,117,8,1,7,0,0,2,159,0,0,0,31,0,121,6,3,30,0,43,88,114,1,40,5,1,0,6,16,2,92,0,0,1,44
307,Koviloko,Ward,Total,253,0,215,2,20,0,0,7,0,9,6,36,181,0,0,0,0,0,21,9,3,0,37,1,39,21,152,0,0,1,19,0,229,1,0,3,0,0,1,251,1,0,0,54,0,173,10,16,46,0,55,152,129,4,105,11,4,0,6,16,12,139,0,0,3,77
308,Kmaga,Ward,Total,351,0,279,4,17,0,0,50,0,1,5,47,241,0,0,1,1,0,54,2,5,0,62,7,124,30,123,0,0,1,96,1,248,0,0,3,2,0,1,347,1,2,0,64,2,271,7,7,88,0,161,102,293,4,39,9,6,0,7,36,44,214,0,0,13,37
309,Kaloka,Ward,Total,197,0,155,2,16,9,2,8,3,2,9,11,152,8,2,1,0,0,11,3,1,0,32,86,7,2,51,18,0,0,15,2,177,0,0,3,0,0,0,196,0,0,1,31,0,154,4,8,36,0,135,26,142,1,27,19,8,0,1,13,15,120,0,0,14,34
310,Tatamba,Ward,Total,282,0,173,34,4,4,0,65,1,1,8,4,169,0,0,9,2,0,88,2,3,2,36,9,55,3,172,2,0,1,104,0,172,2,0,3,0,0,0,276,4,2,0,49,1,214,6,12,53,0,191,38,164,23,52,37,3,3,6,32,22,172,0,0,34,16
311,Sigana,Ward,Total,438,21,289,11,10,10,5,84,1,7,30,66,227,5,15,2,0,0,92,1,7,0,13,1,13,2,402,0,5,1,46,2,381,1,0,2,0,0,0,430,2,6,0,66,1,336,11,24,66,0,318,54,303,7,76,29,19,4,11,36,6,292,0,2,59,32
312,Japuana,Ward,Total,405,0,367,1,2,1,0,33,0,1,24,49,248,0,0,2,1,0,81,0,7,2,6,0,38,11,339,2,0,2,101,2,299,0,0,1,0,0,2,387,3,13,0,138,0,255,6,6,92,1,258,54,241,0,113,27,19,5,6,45,25,286,0,0,12,31
313,Kolomola,Ward,Total,205,0,158,0,7,1,4,35,0,0,0,44,23,0,0,0,0,0,138,0,0,0,5,0,200,0,0,0,0,1,14,0,190,0,0,0,0,1,1,203,0,0,0,84,0,116,1,4,86,1,88,30,153,1,35,13,2,1,15,6,3,100,0,0,0,81
314,Kolotubi,Ward,Total,303,0,241,13,6,9,9,22,0,3,4,1,119,2,2,0,2,0,172,1,1,0,0,2,265,1,26,8,0,1,37,1,264,0,0,0,0,0,0,302,0,1,0,103,0,191,4,5,57,0,197,49,178,0,101,15,6,3,1,35,3,224,0,1,4,35
315,Susubona,Ward,Total,361,0,220,54,17,4,0,65,0,1,2,6,169,4,0,7,1,0,172,0,5,1,16,49,187,6,97,0,0,1,100,7,249,0,0,4,0,0,0,360,0,1,0,175,0,174,5,7,147,1,150,63,214,15,74,40,18,0,5,29,8,216,0,1,16,86
316,Samasodu,Ward,Total,354,0,117,149,64,3,2,16,0,3,14,18,201,11,11,19,2,0,75,3,9,7,28,0,5,0,299,6,22,10,56,0,258,0,1,7,0,0,14,309,14,17,0,162,1,152,28,11,170,0,170,14,205,6,76,37,14,16,5,123,14,163,0,2,2,45
401,Sandfly-Buenavista,Ward,Total,672,0,166,45,231,5,4,200,0,21,3,18,140,104,204,2,7,0,182,12,2,1,0,1,0,3,120,545,0,4,13,2,653,0,0,0,0,0,0,662,0,10,0,153,2,476,20,21,107,0,466,99,520,41,77,14,11,9,20,71,11,456,0,0,9,105
402,West Gela,Ward,Total,443,0,196,7,6,39,9,157,0,29,2,7,196,26,34,0,3,0,160,15,1,0,0,0,2,0,394,46,1,7,13,0,422,0,0,0,0,0,2,440,0,1,0,86,2,347,5,3,67,0,293,83,409,3,17,7,2,5,9,38,4,321,0,0,5,66
403,East Gela,Ward,Total,400,0,225,10,32,1,0,129,0,3,4,160,69,13,12,1,2,0,132,7,2,2,0,0,0,0,129,267,5,1,11,0,382,0,0,0,1,1,1,398,0,0,0,42,0,353,2,3,81,1,239,79,383,9,5,3,0,0,4,51,9,267,0,0,1,68
404,Tulagi,Ward,Total,244,26,7,124,85,0,0,0,1,1,183,11,5,12,5,2,2,0,18,6,169,10,4,1,5,0,23,32,134,5,4,1,99,0,0,1,0,2,4,196,0,42,0,172,0,49,23,0,82,0,27,135,182,0,46,10,3,3,3,201,18,8,0,0,5,9
405,South West Gela,Ward,Total,474,0,79,55,48,5,0,285,0,2,18,60,29,149,138,21,2,0,56,1,7,0,0,0,0,0,74,393,49,3,12,1,408,0,0,1,0,9,0,433,0,32,0,64,0,393,5,12,94,1,267,112,370,7,71,16,5,5,1,89,9,233,0,2,11,129
406,South East Gela,Ward,Total,323,0,283,1,6,2,0,31,0,0,7,277,7,2,2,1,0,0,25,2,7,0,0,0,0,0,137,179,0,0,1,0,322,0,0,0,0,0,0,322,0,1,0,24,0,291,3,5,26,0,245,52,248,3,57,10,3,2,0,29,6,252,0,2,10,24
407,North East Gela,Ward,Total,429,0,373,14,19,0,0,1,0,22,50,68,291,1,17,0,0,0,2,0,2,19,11,0,0,0,6,391,0,0,48,2,379,0,0,0,0,0,0,429,0,0,0,62,0,367,0,0,157,0,158,114,318,0,45,35,0,31,8,53,196,130,0,0,28,14
408,North West Gela,Ward,Total,330,0,228,2,10,0,0,65,0,25,4,55,181,7,27,0,2,0,54,0,0,2,49,1,0,0,25,253,0,0,8,1,320,0,0,1,0,0,0,330,0,0,0,50,0,276,3,1,80,0,140,110,301,2,17,5,1,4,4,26,74,211,0,0,6,9
409,Mbanika,Ward,Total,333,0,2,206,42,0,0,3,76,4,0,0,1,32,289,9,0,0,1,1,97,2,18,20,1,0,13,182,0,1,18,0,314,0,0,0,0,0,0,332,0,1,0,193,3,120,12,5,197,0,78,58,317,4,8,2,2,0,0,39,3,159,0,0,1,131
410,Pavuvu,Ward,Total,333,0,111,161,31,3,0,22,1,4,2,11,130,54,97,11,4,0,21,3,0,0,1,2,0,0,141,189,0,6,22,0,303,0,0,1,1,0,0,332,0,1,0,121,3,199,4,6,126,5,176,26,304,26,2,0,0,1,9,17,12,90,0,0,2,203
411,Lovukol,Ward,Total,358,0,0,171,174,2,0,4,1,6,0,0,0,73,245,26,8,1,3,2,1,0,0,1,0,0,134,222,0,4,27,0,325,0,0,2,0,0,0,357,0,1,0,99,1,249,6,3,103,0,231,24,314,22,14,5,3,0,2,15,6,223,0,0,1,111
412,North Savo,Ward,Total,287,0,159,82,44,1,0,0,0,1,16,103,100,17,47,4,0,0,0,0,3,0,12,17,0,22,15,218,0,0,5,0,282,0,0,0,0,0,0,283,0,4,0,36,1,249,1,0,57,0,80,150,239,3,21,11,6,7,6,17,10,109,1,1,7,136
413,South Savo,Ward,Total,279,0,106,32,134,1,1,2,0,3,0,5,52,4,210,0,1,0,5,2,1,0,11,3,0,1,123,140,0,2,6,0,267,0,0,4,0,0,0,276,0,3,0,83,0,190,2,4,115,2,68,94,216,12,27,9,12,3,0,19,15,59,0,0,2,184
501,East Te Nggano,Ward,Total,85,0,0,45,38,0,2,0,0,0,0,0,0,0,0,0,0,0,85,0,3,0,18,1,19,42,2,0,0,0,73,0,12,0,0,0,0,0,0,85,0,0,0,62,0,14,8,1,49,0,23,13,34,43,0,2,1,5,16,8,3,46,0,1,1,10
502,West Te Nggano,Ward,Total,81,0,0,30,37,0,2,1,1,10,0,0,0,0,4,7,1,0,69,0,0,1,5,0,13,58,4,0,0,1,61,0,11,0,0,8,0,0,0,80,0,1,0,55,1,20,5,0,52,0,21,8,62,6,4,0,0,9,21,18,3,28,0,1,2,8
503,Lughu,Ward,Total,81,0,0,74,1,0,0,0,1,5,0,0,0,0,1,74,1,0,0,5,4,0,58,1,11,0,7,0,1,0,66,0,14,0,0,0,0,0,0,79,0,2,0,57,0,20,1,3,30,0,37,14,26,2,11,21,7,14,0,7,11,43,1,1,13,5
504,Kangava,Ward,Total,60,0,0,54,0,0,6,0,0,0,0,0,0,0,22,38,0,0,0,0,0,0,2,0,58,0,0,0,0,0,43,0,17,0,0,0,0,0,0,60,0,0,0,41,0,13,4,2,38,0,15,7,42,5,9,3,0,1,12,12,0,26,0,0,0,10
505,Tetau Nangoto,Ward,Total,123,0,0,123,0,0,0,0,0,0,0,0,0,1,0,122,0,0,0,0,6,2,46,2,67,0,0,0,2,0,108,0,9,0,0,1,3,0,0,114,0,9,0,107,0,7,5,4,63,0,9,51,95,4,1,6,16,1,24,60,10,8,0,7,14,0
506,Mugihenua,Ward,Total,23,0,0,18,0,5,0,0,0,0,0,0,0,6,0,15,0,0,0,2,0,0,1,0,22,0,0,0,0,0,15,0,8,0,0,0,0,0,0,23,0,0,0,21,0,2,0,0,17,0,2,4,14,0,0,4,3,2,11,6,0,1,0,0,5,0
507,Matangi,Ward,Total,32,0,0,31,1,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,2,0,0,0,30,0,0,0,0,0,23,0,8,0,0,1,0,0,0,32,0,0,0,17,0,13,0,2,18,0,5,9,0,3,7,5,9,8,0,4,2,6,0,0,20,0
508,East Ghongau,Ward,Total,70,0,0,60,10,0,0,0,0,0,0,0,0,0,0,60,10,0,0,0,0,0,5,0,65,0,0,0,0,0,29,0,32,0,0,0,9,0,4,60,0,6,0,34,0,25,2,9,22,0,16,32,6,6,4,22,9,23,18,16,7,26,0,1,1,1
509,West Ghongau,Ward,Total,76,0,0,57,3,0,0,0,16,0,0,0,0,0,0,57,4,0,0,15,2,0,13,0,61,0,0,0,0,0,53,0,21,0,0,2,0,0,0,76,0,0,0,42,0,31,3,0,23,0,14,39,13,18,27,7,6,5,11,9,2,33,0,0,9,12
510,Sa'Aiho,Ward,Total,57,0,0,55,2,0,0,0,0,0,0,0,0,0,1,54,2,0,0,0,0,0,6,0,51,0,0,0,0,0,44,0,13,0,0,0,0,0,0,57,0,0,0,49,0,6,1,1,19,0,29,9,11,2,7,11,2,24,1,7,2,27,0,2,17,1
601,Tandai,Ward,Total,2463,873,712,125,25,35,4,555,1,133,380,468,472,188,142,17,4,0,758,34,301,142,442,154,593,236,264,331,352,50,103,5,1933,1,0,18,1,19,14,2185,7,236,2,1156,38,716,406,147,486,12,135,1830,2227,72,89,26,28,21,51,1312,155,594,2,31,13,305
602,Saghalu,Ward,Total,1044,12,455,45,56,118,6,343,0,9,54,113,244,118,36,12,9,0,457,1,52,58,16,15,216,11,358,318,43,2,27,1,969,0,0,2,0,0,1,988,0,54,1,196,3,721,34,90,303,3,337,401,836,51,94,31,18,14,23,188,48,646,0,2,25,112
603,Savulei,Ward,Total,471,0,316,25,6,2,14,98,0,10,14,105,162,16,34,0,1,0,138,1,4,3,9,6,4,0,219,226,2,1,20,0,444,0,0,3,1,0,0,467,0,3,1,41,0,342,28,60,165,3,238,65,394,56,7,5,3,6,4,34,25,402,1,0,1,4
604,Tangarare,Ward,Total,551,0,246,7,8,2,0,278,0,10,8,52,178,15,1,2,1,0,288,6,1,0,22,9,3,21,415,80,0,3,9,1,535,0,0,2,1,0,3,547,0,1,0,267,10,239,13,22,308,5,160,78,412,29,87,9,10,4,33,30,42,347,0,0,4,95
